ut,met,situation,biome,lat,lon,alt_m,vs_mps,speed_mps,pitch_deg,heading_deg,roll_deg,apo_m,peri_m,throttle
7457.61,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7457.79,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7458.03,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7458.23,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7458.53,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7458.75,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7458.95,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7459.21,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7459.41,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7459.67,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7459.87,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7460.13,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7460.33,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7460.65,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7460.87,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7461.07,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7461.29,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7461.51,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7461.75,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7461.95,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7462.17,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7462.37,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7462.63,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7462.85,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7463.07,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7463.29,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7463.51,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7463.77,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7463.95,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7464.17,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7464.43,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7464.65,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7464.85,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7465.05,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7465.29,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7465.49,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7465.73,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7465.95,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7466.17,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7466.37,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7466.63,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7466.83,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7467.07,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7467.29,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7467.51,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7467.71,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7467.95,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7468.17,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7468.43,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7468.65,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7468.87,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7469.09,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7469.29,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7469.55,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7469.75,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7469.99,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7470.21,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7470.43,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7470.63,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7470.89,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7471.11,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7471.29,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7471.55,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7471.77,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7471.99,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7472.21,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7472.43,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7472.63,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7472.85,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7473.05,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7473.31,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7473.51,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7473.75,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7473.97,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7474.19,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7474.49,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7474.73,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7474.97,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7475.25,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7475.47,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7475.67,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7475.91,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7476.13,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7476.35,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7476.55,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7476.77,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
